epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5272436141967773,0.7158097624778748,0.001,0.7516170740127563,0.6352139711380005
1,0.5833333134651184,0.6838738918304443,0.001,0.5549805760383606,0.6932922601699829
2,0.6193910241127014,0.6469441652297974,0.001,0.4747736155986786,0.7144298553466797
3,0.6225961446762085,0.6540169715881348,0.001,0.5316947102546692,0.698630690574646
4,0.65625,0.6302409768104553,0.001,0.5523932576179504,0.6889291405677795
5,0.6570512652397156,0.6213357448577881,0.001,0.5950840711593628,0.6569032073020935
6,0.6754807829856873,0.6127703785896301,0.001,0.6054334044456482,0.6417390704154968
7,0.6955128312110901,0.6044871807098389,0.001,0.5937904119491577,0.6441015005111694
8,0.6850961446762085,0.6180217266082764,0.001,0.6041396856307983,0.6376761198043823
9,0.7027243375778198,0.6068841218948364,0.001,0.6248382925987244,0.6195090413093567
10,0.7067307829856873,0.5941251516342163,0.001,0.655886173248291,0.5957614183425903
11,0.7163461446762085,0.6063740253448486,0.001,0.6623544692993164,0.5779138207435608
12,0.7067307829856873,0.6067253351211548,0.001,0.6610608100891113,0.5792056918144226
13,0.6995192170143127,0.5839208960533142,0.001,0.6662354469299316,0.5773569941520691
14,0.7123397588729858,0.6035104990005493,0.001,0.671410083770752,0.5698041319847107
15,0.7315705418586731,0.5797883868217468,0.001,0.6804656982421875,0.5566563606262207
16,0.7123397588729858,0.5983037948608398,0.001,0.6778783798217773,0.5598015785217285
17,0.7155448794364929,0.585840106010437,0.001,0.6791720390319824,0.566707193851471
18,0.7339743375778198,0.5844308137893677,0.001,0.6869339942932129,0.5566508173942566
19,0.7163461446762085,0.5887458920478821,0.001,0.6804656982421875,0.5610660910606384
20,0.7339743375778198,0.5869233012199402,0.001,0.6830530166625977,0.5575218200683594
21,0.7203525900840759,0.5646154880523682,0.001,0.7024579644203186,0.5411539673805237
22,0.7267628312110901,0.5715636610984802,0.001,0.7037516236305237,0.5386905074119568
23,0.7387820482254028,0.5668904781341553,0.001,0.6985769867897034,0.5439323782920837
24,0.7267628312110901,0.5739195346832275,0.001,0.6934023499488831,0.5485789179801941
25,0.7251602411270142,0.575488269329071,0.001,0.7011643052101135,0.5385516881942749
26,0.7419871687889099,0.5647796392440796,0.001,0.708926260471344,0.531389057636261
27,0.745192289352417,0.5576531291007996,0.001,0.708926260471344,0.5260982513427734
28,0.7580128312110901,0.554267406463623,0.001,0.7128072381019592,0.5187511444091797
29,0.7508012652397156,0.5713090300559998,0.001,0.7128072381019592,0.5233733654022217
30,0.7355769276618958,0.5680086612701416,0.001,0.7141008973121643,0.5209997892379761
31,0.7435897588729858,0.564954400062561,0.001,0.7192755341529846,0.5185195803642273
32,0.7491987347602844,0.5622501373291016,0.001,0.7192755341529846,0.5269755125045776
33,0.7363781929016113,0.5571559071540833,0.001,0.72574383020401,0.5231698155403137
